epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.423,0,112.492,0,0.00054,0.10972,0.00068,0.00015,3.89899,4.22655,3.19401,0.000298609,0.000298609,0.000298609
2,559.915,0,92.037,0,0.57414,0.00733,0.00046,0.0001,4.34094,4.52965,3.77031,0.000595653,0.000595653,0.000595653
3,900.438,0,75.695,0,0.00032,0.04686,0.0002,5e-05,4.22586,4.60754,3.21138,0.000886697,0.000886697,0.000886697
4,1038.3,0,59.1957,0,0,0,0,0,4.52703,4.51547,3.43599,0.000882003,0.000882003,0.000882003
5,1191.12,0,43.8441,0,0.00216,0.0077,0.00115,0.0004,4.25742,4.80723,5.68436,0.000873004,0.000873004,0.000873004
6,1353.12,0,31.1656,0,0.0004,0.00244,0.00021,3e-05,4.3184,4.96125,3.44898,0.000864004,0.000864004,0.000864004
7,1514.93,0,21.6575,0,0,0,0,0,4.2153,5.17956,3.26989,0.000855005,0.000855005,0.000855005
8,1676.57,0,14.6734,0,0,0,0,0,4.23072,5.27062,3.23151,0.000846006,0.000846006,0.000846006
9,1828.26,0,9.6194,0,0,0,0,0,4.14952,5.50466,3.18786,0.000837007,0.000837007,0.000837007
10,1990.93,0,6.19187,0,0,0,0,0,4.15851,5.76028,3.11708,0.000828008,0.000828008,0.000828008
11,2153.69,0,3.99408,0,0,0,0,0,4.09643,6.04668,3.21632,0.000819009,0.000819009,0.000819009
12,2316.18,0,2.51066,0,0,0,0,0,4.17957,6.3839,3.4369,0.00081001,0.00081001,0.00081001
13,2486.71,0,1.52732,0,0,0,0,0,4.12934,6.5346,3.27795,0.000801011,0.000801011,0.000801011
14,2650.84,0,0.90247,0,0,0,0,0,4.07921,6.78919,3.12424,0.000792012,0.000792012,0.000792012
15,2917.51,0,0.56356,0,0,0,0,0,4.0435,7.05621,3.15422,0.000783013,0.000783013,0.000783013
16,3082.95,0,0.1846,0,0,0,0,0,4.03894,7.34824,3.14149,0.000774013,0.000774013,0.000774013
17,3253.55,0,0.11207,0,0,0,0,0,4.0556,7.58971,3.15151,0.000765014,0.000765014,0.000765014
18,3414.85,0,0.03124,0,0,0,0,0,4.03731,7.88264,3.17431,0.000756015,0.000756015,0.000756015
19,3576.21,0,0.02123,0,0,0,0,0,4.0617,8.03199,3.14066,0.000747016,0.000747016,0.000747016
20,3737.44,0,0.01711,0,0,0,0,0,4.06642,8.20857,3.14737,0.000738017,0.000738017,0.000738017
21,3874.29,0,0.00559,0,0,0,0,0,4.10806,8.26492,3.18585,0.000729018,0.000729018,0.000729018
22,4014.43,0,0.00023,0,0,0,0,0,4.42321,8.06385,3.34879,0.000720019,0.000720019,0.000720019
23,4153.67,0,0,0,0,0,0,0,4.5026,7.84506,3.60025,0.00071102,0.00071102,0.00071102
24,4292.91,0,2e-05,0,0,0,0,0,4.51775,7.96653,3.6173,0.000702021,0.000702021,0.000702021
25,4443.78,0,0,0,0,0,0,0,4.48405,7.9658,3.60773,0.000693022,0.000693022,0.000693022
26,4606.27,0,0,0,0,0,0,0,4.47146,8.00168,3.59676,0.000684022,0.000684022,0.000684022
27,4768.8,0,0,0,0,0,0,0,4.46319,8.02843,3.59837,0.000675023,0.000675023,0.000675023
28,4931.18,0,0,0,0,0,0,0,4.44268,8.00922,3.58058,0.000666024,0.000666024,0.000666024
29,5082.83,0,0,0,0,0,0,0,4.43517,8.04428,3.58592,0.000657025,0.000657025,0.000657025
30,5245.16,0,0,0,0,0,0,0,4.45051,8.08409,3.59426,0.000648026,0.000648026,0.000648026
31,5407.62,0,0,0,0,0,0,0,4.45012,8.11429,3.58965,0.000639027,0.000639027,0.000639027
32,5570.18,0,0,0,0,0,0,0,4.49469,8.07656,3.62768,0.000630028,0.000630028,0.000630028
33,5721.73,0,0,0,0,0,0,0,4.50407,8.06443,3.61662,0.000621029,0.000621029,0.000621029
34,5884.07,0,0,0,0,0,0,0,4.46779,8.00092,3.6265,0.00061203,0.00061203,0.00061203
35,6046.38,0,0,0,0,0,0,0,4.42159,7.99249,3.62166,0.000603031,0.000603031,0.000603031
36,6208.93,0,0,0,0,0,0,0,4.21231,7.77987,3.5083,0.000594031,0.000594031,0.000594031
37,6360.39,0,0,0,0,0,0,0,4.22061,7.78791,3.49283,0.000585032,0.000585032,0.000585032
38,6522.79,0,0,0,0,0,0,0,4.22255,7.78499,3.51581,0.000576033,0.000576033,0.000576033
39,6685.07,0,0,0,0,0,0,0,4.22604,7.81691,3.5081,0.000567034,0.000567034,0.000567034
40,6847.59,0,0,0,0,0,0,0,4.21,7.82821,3.50326,0.000558035,0.000558035,0.000558035
41,6998.99,0,0,0,0,0,0,0,4.22473,7.85014,3.51061,0.000549036,0.000549036,0.000549036
42,7161.48,0,0,0,0,0,0,0,4.23193,7.87869,3.5063,0.000540037,0.000540037,0.000540037
43,7324,0,0,0,0,0,0,0,4.2393,7.89577,3.50439,0.000531038,0.000531038,0.000531038
44,7486.36,0,0,0,0,0,0,0,4.23855,7.90881,3.51404,0.000522039,0.000522039,0.000522039
45,7637.85,0,0,0,0,0,0,0,4.22575,7.93107,3.50293,0.00051304,0.00051304,0.00051304
46,7799.96,0,0,0,0,0,0,0,4.23273,7.94812,3.51202,0.00050404,0.00050404,0.00050404
47,7962.51,0,0,0,0,0,0,0,4.22599,7.95813,3.51246,0.000495041,0.000495041,0.000495041
48,8124.88,0,0,0,0,0,0,0,4.23604,7.97204,3.51403,0.000486042,0.000486042,0.000486042
49,8276.43,0,0,0,0,0,0,0,4.24007,7.9822,3.51319,0.000477043,0.000477043,0.000477043
50,8439.03,0,0,0,0,0,0,0,4.24585,7.99348,3.51379,0.000468044,0.000468044,0.000468044
51,8601.44,0,0,0,0,0,0,0,4.26101,8.00194,3.5132,0.000459045,0.000459045,0.000459045
52,8763.97,0,0,0,0,0,0,0,4.26891,8.02156,3.50741,0.000450046,0.000450046,0.000450046
53,8915.71,0,0,0,0,0,0,0,4.25466,8.03928,3.49896,0.000441047,0.000441047,0.000441047
54,9078.2,0,0,0,0,0,0,0,4.25969,8.05023,3.51188,0.000432048,0.000432048,0.000432048
55,9240.55,0,0,0,0,0,0,0,4.25886,8.06946,3.52126,0.000423049,0.000423049,0.000423049
56,9402.8,0,0,0,0,0,0,0,4.2548,8.07676,3.52542,0.000414049,0.000414049,0.000414049
57,9554.21,0,0,0,0,0,0,0,4.26063,8.08792,3.54673,0.00040505,0.00040505,0.00040505
58,9716.45,0,0,0,0,0,0,0,4.29043,8.10021,3.55496,0.000396051,0.000396051,0.000396051
59,9878.62,0,0,0,0,0,0,0,4.29276,8.10709,3.57945,0.000387052,0.000387052,0.000387052
60,10040.9,0,0,0,0,0,0,0,4.30036,8.11667,3.58009,0.000378053,0.000378053,0.000378053
61,10192.4,0,0,0,0,0,0,0,4.33407,8.13535,3.61774,0.000369054,0.000369054,0.000369054
62,10354.6,0,0,0,0,0,0,0,4.37141,8.14343,3.65503,0.000360055,0.000360055,0.000360055
63,10516.9,0,0,0,0,0,0,0,4.39075,8.15528,3.69741,0.000351056,0.000351056,0.000351056
64,10679.5,0,0,0,0,0,0,0,4.40202,8.17861,3.69099,0.000342057,0.000342057,0.000342057
65,10831.1,0,0,0,0,0,0,0,4.41629,8.17547,3.73346,0.000333058,0.000333058,0.000333058
66,10993.4,0,0,0,0,0,0,0,4.41371,8.13736,3.77549,0.000324058,0.000324058,0.000324058
67,11155.7,0,0,0,0,0,0,0,4.39622,8.09791,3.77247,0.000315059,0.000315059,0.000315059
68,11317.9,0,0,0,0,0,0,0,4.36671,8.10515,3.74306,0.00030606,0.00030606,0.00030606
69,11469.4,0,0,0,0,0,0,0,4.38372,8.11762,3.75944,0.000297061,0.000297061,0.000297061
70,11631.7,0,0,0,0,0,0,0,4.39095,8.12821,3.74151,0.000288062,0.000288062,0.000288062
71,11794.1,0,0,0,0,0,0,0,4.37689,8.12791,3.74648,0.000279063,0.000279063,0.000279063
72,11956.5,0,0,0,0,0,0,0,4.3871,8.13608,3.74846,0.000270064,0.000270064,0.000270064
73,12108.5,0,0,0,0,0,0,0,4.39773,8.13575,3.80572,0.000261065,0.000261065,0.000261065
74,12270.6,0,0,0,0,0,0,0,4.38294,8.00666,3.8654,0.000252066,0.000252066,0.000252066
75,12433.1,0,0,0,0,0,0,0,4.37757,8.07951,3.94401,0.000243067,0.000243067,0.000243067
76,12595.7,0,0,0,0,0,0,0,4.32989,8.0078,3.95388,0.000234068,0.000234068,0.000234068
77,12747.3,0,0,0,0,0,0,0,4.34179,8.0143,3.96453,0.000225068,0.000225068,0.000225068
78,12909.8,0,0,0,0,0,0,0,4.26352,7.89426,3.93324,0.000216069,0.000216069,0.000216069
79,13072.1,0,0,0,0,0,0,0,4.24608,7.90172,3.91624,0.00020707,0.00020707,0.00020707
80,13234.5,0,0,0,0,0,0,0,4.2966,7.9014,3.94578,0.000198071,0.000198071,0.000198071
81,13385.9,0,0,0,0,0,0,0,4.31433,7.89947,3.97563,0.000189072,0.000189072,0.000189072
82,13548.3,0,0,0,0,0,0,0,4.25896,7.8015,4.0365,0.000180073,0.000180073,0.000180073
83,13710.7,0,0,0,0,0,0,0,4.32896,7.84428,4.05636,0.000171074,0.000171074,0.000171074
84,13873.1,0,0,0,0,0,0,0,4.36907,7.81835,4.17397,0.000162075,0.000162075,0.000162075
85,14024.5,0,0,0,0,0,0,0,4.34944,7.68591,4.12318,0.000153076,0.000153076,0.000153076
86,14187,0,0,0,0,0,0,0,4.39928,7.78084,4.21824,0.000144077,0.000144077,0.000144077
87,14349.6,0,0,0,0,0,0,0,3.79669,6.75122,3.8437,0.000135077,0.000135077,0.000135077
88,14511.8,0,0,0,0,0,0,0,3.95249,6.99189,3.94456,0.000126078,0.000126078,0.000126078
89,14663.2,0,0,0,0,0,0,0,3.9289,6.88114,3.88849,0.000117079,0.000117079,0.000117079
90,14825.5,0,0,0,0,0,0,0,3.88151,6.76468,3.85576,0.00010808,0.00010808,0.00010808
91,15073.4,0,0,0,0,0,0,0,3.85687,6.61628,3.73143,9.9081e-05,9.9081e-05,9.9081e-05
92,15286.2,0,0,0,0,0,0,0,3.93774,6.74399,3.76219,9.00819e-05,9.00819e-05,9.00819e-05
93,15515.5,0,0,0,0,0,0,0,3.91528,6.63429,3.71027,8.10828e-05,8.10828e-05,8.10828e-05
94,15655,0,0,0,0,0,0,0,3.88462,6.56097,3.68016,7.20837e-05,7.20837e-05,7.20837e-05
95,15817.2,0,0,0,0,0,0,0,3.89021,6.56011,3.75269,6.30846e-05,6.30846e-05,6.30846e-05
96,16160.1,0,0,0,0,0,0,0,3.99611,6.78928,4.0436,5.40855e-05,5.40855e-05,5.40855e-05
97,16480.8,0,0,0,0,0,0,0,3.89565,6.57258,3.84149,4.50864e-05,4.50864e-05,4.50864e-05
98,16620.4,0,0,0,0,0,0,0,3.95072,6.63916,4.25521,3.60873e-05,3.60873e-05,3.60873e-05
99,16759.3,0,0,0,0,0,0,0,3.96652,6.61901,4.34296,2.70882e-05,2.70882e-05,2.70882e-05
100,16898.2,0,0,0,0,0,0,0,3.91741,6.55378,3.87357,1.80891e-05,1.80891e-05,1.80891e-05
